1, 2
2, 1
1, 6
6, 1
2, 3
3, 2
2, 12
12, 2
3, 4
4, 3
3, 15
15, 3
4, 5
5, 4
4, 7
7, 4
5, 10
10, 5
5, 6
6, 5
7, 8
8, 7
8, 9
9, 8
8, 11
11, 8
9, 46
46, 9
9, 10
10, 9
12, 13
13, 12
13, 14
14, 13
13, 27
27, 13
13, 28
28, 13
14, 38
38, 14
14, 15
15, 14
15, 25
25, 15
16, 17
17, 16
16, 21
21, 16
16, 22
22, 16
16, 24
24, 16
17, 18
18, 17
18, 19
19, 18
19, 20
20, 19
19, 44
44, 19
19, 22
22, 19
20, 23
23, 20
20, 21
21, 20
22, 42
42, 22
22, 43
43, 22
24, 26
26, 24
24, 25
25, 24
29, 30
30, 29
29, 34
34, 29
29, 35
35, 29
29, 37
37, 29
30, 31
31, 30
31, 32
32, 31
32, 33
33, 32
32, 45
45, 32
32, 35
35, 32
33, 36
36, 33
33, 34
34, 33
35, 40
40, 35
35, 41
41, 35
37, 39
39, 37
37, 38
38, 37
46, 47
47, 46
48, 49
49, 48
49, 50
50, 49
50, 51
51, 50
51, 52
52, 51
48, 53
53, 48
49, 54
54, 49
51, 55
55, 51
53, 56
56, 53
52, 57
57, 52
52, 58
58, 52
52, 53
53, 52
59, 60
60, 59
60, 61
61, 60
59, 62
62, 59
62, 63
63, 62
63, 64
64, 63
59, 65
65, 59
65, 66
66, 65
66, 67
67, 66
68, 69
69, 68
69, 70
70, 69
69, 71
71, 69
